FECHA	DEPARTAMENTO 	MUNICIPIO	DIA 	HORA	BARRIO	ZONA	CLASE SITIO	ARMA EMPLEADA	MOVIL AGRESOR	MOVIL VICTIMA	EDAD	SEXO	ESTADO CIVIL	PAIS NACE	CLASE EMPLEADO	PROFESIONES	ESCOLARIDAD	CODIGO DANE	2010
1/01/2010 0:00	ANTIOQUIA	AMAGÁ	Viernes	14:00	MALABRIGO PARTE ALTA	RURAL	FINCAS Y SIMILARES	ARMA BLANCA	A PIE	A PIE	49	MASCULINO	CASADO	COLOMBIA	EMPLEADO PARTICULAR	NO REPORTADO	PRIMARIA	5,030,000	1
1/01/2010 0:00	ANTIOQUIA	COPACABANA	Viernes	8:30	LA MISERICORDIA	URBANA	FRENTE A RESIDENCIAS - VIA PUBLICA	ARMA DE FUEGO	A PIE	A PIE	32	MASCULINO	UNION LIBRE	COLOMBIA	INDEPENDIENTE	NO REPORTADO	SECUNDARIA	5,212,000	1
1/01/2010 0:00	ANTIOQUIA	MEDELLÍN (CT)	Viernes	2:00	LAS GRANJAS  C-3	URBANA	VIAS PUBLICAS	ARMA DE FUEGO	A PIE	A PIE	33	MASCULINO	UNION LIBRE	COLOMBIA	DESEMPLEADO	NO REPORTADO	SECUNDARIA	5,001,000	1
1/01/2010 0:00	ANTIOQUIA	MEDELLÍN (CT)	Viernes	11:10	ALEJANDRO ECHAVARRIA  C-9	URBANA	ESCENARIOS DEPORTIVOS	ARMA DE FUEGO	A PIE	A PIE	23	MASCULINO	SOLTERO	COLOMBIA	ESTUDIANTE	NO REPORTADO	SECUNDARIA	5,001,000	1
1/01/2010 0:00	ANTIOQUIA	MEDELLÍN (CT)	Viernes	11:10	ALEJANDRO ECHAVARRIA  C-9	URBANA	ESCENARIOS DEPORTIVOS	ARMA DE FUEGO	A PIE	A PIE	23	MASCULINO	SOLTERO	COLOMBIA	EMPLEADO PARTICULAR	NO REPORTADO	SECUNDARIA	5,001,000	1
1/01/2010 0:00	ANTIOQUIA	MEDELLÍN (CT)	Viernes	16:40	VILLA HERMOSA C-8	URBANA	CASAS DE HABITACION	ARMA BLANCA	A PIE	A PIE	51	MASCULINO	UNION LIBRE	COLOMBIA	INDEPENDIENTE	NO REPORTADO	SECUNDARIA	5,001,000	1
1/01/2010 0:00	ANTIOQUIA	MEDELLÍN (CT)	Viernes	20:30	LAS PALMAS C-10	URBANA	VIAS PUBLICAS	ARMA DE FUEGO	NO REPORTADO	NO REPORTADO	25	MASCULINO	SOLTERO	NO REPORTADO	DESEMPLEADO	NO REPORTADO	SECUNDARIA	5,001,000	1
1/01/2010 0:00	ANTIOQUIA	MEDELLÍN (CT)	Viernes	21:00	SANTANDER C-6	URBANA	VIAS PUBLICAS	ARMA DE FUEGO	A PIE	CONDUCTOR MOTOCICLETA	27	MASCULINO	SOLTERO	COLOMBIA	DESEMPLEADO	NO REPORTADO	SECUNDARIA	5,001,000	1
1/01/2010 0:00	ANTIOQUIA	RIONEGRO	Viernes	17:47	-	RURAL	BODEGAS Y SIMILARES	ARMA BLANCA	A PIE	A PIE	40	MASCULINO	SOLTERO	COLOMBIA	EMPLEADO PARTICULAR	NO REPORTADO	PRIMARIA	5,615,000	1
1/01/2010 0:00	ATLÁNTICO	BARRANQUILLA (CT)	Viernes	1:55	RIOMAR	URBANA	CASAS DE HABITACION	ARMA DE FUEGO	A PIE	A PIE	42	FEMENINO	SEPARADO	COLOMBIA	EMPLEADO PARTICULAR	NO REPORTADO	TECNICO	8,001,000	1
