FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2013
01/01/2013 12:00:00 AM,ANTIOQUIA,ANDES,Martes,9:30,QUEBRADA ARRIBA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,034,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,BETULIA,Martes,1:55,-,RURAL,PARQUES,ARMA BLANCA,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,ANALFABETA,"5,093,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,BURITICÁ,Martes,15:30,LA RONDA,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,43,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,ANALFABETA,"5,113,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,EL BAGRE,Martes,0:05,LA FLORESTA,URBANA,BOMBA DE GASOLINA,GRANADA DE MANO,A PIE,A PIE,51,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"5,250,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,EL BAGRE,Martes,16:00,SAN JOSE,URBANA,ESTADERO,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,250,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,LA ESTRELLA,Martes,0:18,LA TABLAZA,URBANA,FRENTE A RESIDENCIAS NO REPORTADO VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"5,380,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,0:15,CAMPO VALDES 2 C-3,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,3:30,SANTA ROSA DE LIMA C-13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,53,MASCULINO,VIUDO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,8:47,VILLA TINA C-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,11:30,SAN BERNARDO C-16,URBANA,APARTAMENTO,BOLSA PLASTICA,A PIE,A PIE,67,MASCULINO,DIVORCIADO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SUPERIOR,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,17:30,EL SALADO C-13,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,19:40,KENNEDY C-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,NO REPORTA,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,21:08,CASTILLA C-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,VALDIVIA,Martes,17:30,CARACOLI,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,NO REPORTADO,PRIMARIA,"5,854,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,VENECIA,Martes,7:30,PARQUE PRINCIPAL,URBANA,PARQUES,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,861,000",1
01/01/2013 12:00:00 AM,ANTIOQUIA,YARUMAL,Martes,20:05,-,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,NO REPORTADO,PRIMARIA,"5,887,000",1
01/01/2013 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,7:45,SAN ROQUE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,PRIMARIA,"8,001,000",1
01/01/2013 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Martes,9:00,NUEVA COLOMBIA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"8,001,000",1
01/01/2013 12:00:00 AM,ATLÁNTICO,SOLEDAD,Martes,13:20,MANUELA BELTRAN,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADA,PRIMARIA,"8,758,000",1
01/01/2013 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Martes,6:30,EL POZON,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,19,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"13,001,000",1
01/01/2013 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Martes,18:00,ESCALLON VILLA,URBANA,CLINICAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"13,001,000",1
01/01/2013 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Martes,20:00,SAN FERNANDO,URBANA,CARCELES,ARMA BLANCA,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"13,001,000",1
