Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2016 12:00:00 AM,AMAZONAS,LETICIA (CT),Viernes,12/31/1899 09:10:00 AM,UNION,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,47,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"91,001,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,ANDES,Viernes,12/31/1899 03:04:00 AM,QUEBRADA ARRIBA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"5,034,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Viernes,12/31/1899 07:30:00 AM,MANRIQUE 2  C-3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,51,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"5,001,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Viernes,12/31/1899 07:40:00 PM,ARANJUEZ  C-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,001,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Viernes,12/31/1899 11:20:00 AM,CERRO EL VOLADOR C-7,URBANA,VIAS PUBLICAS,CUERDA/SOGA/CADENA,A PIE,A PIE,62,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"5,001,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Viernes,12/31/1899 10:08:00 PM,JESUS NAZARENO C-10,URBANA,BAÑOS,CUERDA/SOGA/CADENA,A PIE,A PIE,25,FEMENINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,"5,001,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,SABANALARGA,Viernes,12/31/1899 06:30:00 AM,PARQUE PRINCIPAL,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,56,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"5,628,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,SAN PEDRO DE URABÁ,Viernes,12/31/1899 03:00:00 PM,VDA. BRASIL,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,36,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,665,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,YOLOMBÓ,Viernes,12/31/1899 07:10:00 PM,LA FLORESTA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"5,890,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Viernes,12/31/1899 05:50:00 AM,MODERNO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,52,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,"8,001,000",1
