FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2011
04/01/2011 12:00:00 AM,CAUCA,SANTANDER DE QUILICHAO,Martes,20:00,VDA EL LLANITO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,60,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"85,250,000",1
06/01/2011 12:00:00 AM,HUILA,PITALITO,Jueves,14:30,VEREDA CORINTO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,82,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"19,517,000",1
08/01/2011 12:00:00 AM,CALDAS,MANIZALES (CT),Sábado,14:30,PALERMO,URBANA,RESTAURANTES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,39,MASCULINO,SOLTERO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"81,794,000",1
12/01/2011 12:00:00 AM,ARAUCA,TAME,Miércoles,20:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,39,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"81,794,000",1
13/01/2011,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,14:30,LA ESTACIÓN E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,40,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"81,794,000",1
13/01/2011,NORTE DE SANTANDER,CÚCUTA (CT),Jueves,20:00,BARRIO LAS COLINAS,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,57,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"5,001,000",1
13/01/2011,NORTE DE SANTANDER,CÚCUTA (CT),Jueves,20:00,BARRIO LAS COLINAS,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,44,FEMENINO,CASADO,COMERCIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"47,001,000",1
15/01/2011,NARIÑO,SAN ANDRES DE TUMACO,Sábado,7:30,LA TAGUERA,URBANA,LOCAL COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,67,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"66,170,000",1
16/01/2011,CÓRDOBA,MONTERÍA (CT),Domingo,7:00,LA CANDELARIA,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,8,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"11,001,000",1
16/01/2011,ANTIOQUIA,MEDELLÍN (CT),Domingo,10:30,CARIBE C-5,URBANA,TERMINAL DE TRANSPORTES,NO REPORTADO,A PIE,CONDUCTOR MOTOCICLETA,31,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"70,215,000",1
17/01/2011,PUTUMAYO,VILLAGARZÓN,Lunes,18:30,VDA. LA CAFELINA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,36,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"66,001,000",1
20/01/2011,META,VILLAVICENCIO (CT),Jueves,11:00,-,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
21/01/2011,HUILA,ALGECIRAS,Viernes,17:00,VEREDA QUEBRADON SUR,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,PASAJERO TAXI,VEHICULO,26,MASCULINO,SOLTERO,RELIGIOSO,NO REPORTADA,SUPERIOR,COLOMBIA,"11,001,000",1
22/01/2011,CÓRDOBA,CERETÉ,Sábado,14:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,4,FEMENINO,SOLTERO,NO REPORTA,NO REPORTADA,NO REPORTADA,COLOMBIA,"85,001,000",1
22/01/2011,CASANARE,YOPAL (CT),Sábado,19:00,EL PLAYON,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"76,834,000",1
24/01/2011,CUNDINAMARCA,SUBACHOQUE,Lunes,8:00,-,URBANA,CEMENTERIO,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,VEHICULO,15,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"76,001,000",1
