FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2013
01/01/2013 12:00:00 AM,PUTUMAYO,VILLAGARZÓN,Martes,15:30,VIA. SANTA JULIANA DEL GUINEO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,A PIE,41,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"73,411,000",1
06/01/2013 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Domingo,11:42,LOS ALPES C-16,URBANA,CENTRO COMERCIAL,ARMA DE FUEGO,VEHICULO,A PIE,20,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"73,411,000",1
09/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,9:30,MEISSEN E-19,URBANA,RESTAURANTES,ARMA DE FUEGO,VEHICULO,A PIE,1,MASCULINO,SOLTERO,INDEPENDIENTE,NO REPORTADA,ANALFABETA,COLOMBIA,"73,411,000",1
09/01/2013 12:00:00 AM,NARIÑO,IPIALES,Miércoles,7:00,CENTRO,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,VEHICULO,40,MASCULINO,CASADO,COMERCIANTE,ADMINISTRADOR DE EMPRESAS,SUPERIOR,COLOMBIA,"44,847,000",1
10/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,14:30,EL EJIDO E-16,URBANA,RODANDO SOBRE VIA NO REPORTADA VIA PUBLICA,ARMA DE FUEGO,VEHICULO,A PIE,54,MASCULINO,SOLTERO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"54,673,000",1
11/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,0:00,VILLA MAYOR E-15,URBANA,CENTRO COMERCIAL,NO REPORTADA,A PIE,VEHICULO,NO REPORTADA,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
11/01/2013 12:00:00 AM,VALLE,BUENAVENTURA,Viernes,5:30,JUAN 23,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,VEHICULO,A PIE,22,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"54,245,000",1
11/01/2013 12:00:00 AM,ARAUCA,ARAUCA (CT),Viernes,9:25,SANTA TERESITA,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,VEHICULO,A PIE,27,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,COLOMBIA,"54,245,000",1
11/01/2013 12:00:00 AM,CASANARE,YOPAL (CT),Viernes,10:00,-,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,VEHICULO,A PIE,43,FEMENINO,DIVORCIADO,COMERCIANTE,NO REPORTADA,TECNICO,COLOMBIA,"54,245,000",1
11/01/2013 12:00:00 AM,BOYACÁ,PÁEZ,Viernes,14:00,VDA.GUAMAL,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,VEHICULO,A PIE,48,MASCULINO,CASADO,GANADERO,NO REPORTADA,SECUNDARIA,COLOMBIA,"54,245,000",1
12/01/2013 12:00:00 AM,RISARALDA,PEREIRA (CT),Sábado,15:45,VDA. LA PALMILLA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,PASAJERO TAXI,CONDUCTOR TAXI,67,MASCULINO,SEPARADO,EMPLEADO PARTICULAR,ECONOMISTA,SUPERIOR,COLOMBIA,"11,001,000",1
12/01/2013 12:00:00 AM,VALLE,CALI (CT),Sábado,9:00,PRIMERO DE MAYO E17,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,A PIE,53,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"86,001,000",1
12/01/2013 12:00:00 AM,GUAJIRA,MAICAO,Sábado,10:00,-,URBANA,"HOTELES, RESIDENCIAS, Y SIMILARES.",ARMA DE FUEGO,VEHICULO,VEHICULO,36,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,SECUNDARIA,REPUBLICA DOMINICANA,"19,807,000",1
17/01/2013,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,18:45,-,URBANA,VIAS PUBLICAS,NO REPORTADA,A PIE,VEHICULO,42,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"54,810,000",1
18/01/2013,BOLÍVAR,NOROSÍ,Viernes,5:30,-,URBANA,SELVA,ARMA DE FUEGO,VEHICULO,A PIE,51,MASCULINO,CASADO,EMPLEADO PARTICULAR,ADMINISTRADOR DE EMPRESAS,SUPERIOR,COLOMBIA,"27,787,000",1
18/01/2013,BOLÍVAR,NOROSÍ,Viernes,5:30,-,URBANA,SELVA,ARMA DE FUEGO,VEHICULO,A PIE,NO REPORTADA,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"27,787,000",1
18/01/2013,BOLÍVAR,NOROSÍ,Viernes,5:30,-,URBANA,SELVA,ARMA DE FUEGO,A PIE,VEHICULO,NO REPORTADA,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,GEOLOGO,SUPERIOR,PERU,"52,356,000",1
18/01/2013,BOLÍVAR,NOROSÍ,Viernes,5:30,-,URBANA,SELVA,ARMA DE FUEGO,PASAJERO TAXI,CONDUCTOR TAXI,NO REPORTADA,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,GEOLOGO,SUPERIOR,PERU,"11,001,000",1
18/01/2013,BOLÍVAR,NOROSÍ,Viernes,5:30,-,URBANA,SELVA,NO REPORTADA,A PIE,VEHICULO,NO REPORTADA,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,CANADA,"11,001,000",1
18/01/2013,BOLÍVAR,NOROSÍ,Viernes,5:30,-,URBANA,SELVA,ARMA DE FUEGO,A PIE,A PIE,NO REPORTADA,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,COLOMBIA,"50,330,000",1
20/01/2013,CAUCA,SANTANDER DE QUILICHAO,Domingo,19:00,VDA DOMINGUILLO,RURAL,FINCAS Y SIMILARES,NO REPORTADA,A PIE,A PIE,54,FEMENINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"50,001,000",1
22/01/2013,CAUCA,MERCADERES,Martes,8:30,VIA PANAMERICANA REMOLINO,URBANA,FINCAS Y SIMILARES,ARMA DE FUEGO,VEHICULO,VEHICULO,66,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"5,212,000",1
25/01/2013,VALLE,PALMIRA,Viernes,10:30,CGTO BOLO ALIZAL,URBANA,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,EMPLEADO POLICIAL,NO REPORTADA,TECNOLOGO,COLOMBIA,"5,001,000",1
25/01/2013,VALLE,PALMIRA,Viernes,10:30,CGTO BOLO ALIZAL,URBANA,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,EMPLEADO POLICIAL,NO REPORTADA,TECNOLOGO,COLOMBIA,"5,001,000",1
