Oficina Territorial,Año de la demanda,Mes de la demanda,Número de Solicitudes con Demanda
Sincelejo,"2,012",1,47
Pasto,"2,013",1,1
Sincelejo,"2,013",1,40
Valledupar,"2,013",1,8
Villavicencio,"2,013",1,3
Pasto,"2,014",1,9
Sincelejo,"2,014",1,3
Villavicencio,"2,014",1,6
Barrancabermeja,"2,015",1,1
Bucaramanga,"2,015",1,8
Pasto,"2,015",1,16
Sincelejo,"2,015",1,6
Cali,"2,016",1,2
Pasto,"2,016",1,4
Valledupar,"2,016",1,6
Villavicencio,"2,016",1,1
Valledupar,"2,017",1,2
Valledupar,"2,012",2,2
Mocoa,"2,013",2,3
Pasto,"2,013",2,2
Santa Marta,"2,013",2,14
Sincelejo,"2,013",2,9
Villavicencio,"2,013",2,17
Barrancabermeja,"2,014",2,2
Bucaramanga,"2,014",2,3
Cali,"2,014",2,1
Sincelejo,"2,014",2,10
Valledupar,"2,014",2,3
Mocoa,"2,015",2,1
Pasto,"2,015",2,105
Villavicencio,"2,015",2,10
Bucaramanga,"2,016",2,2
Cali,"2,016",2,1
Pasto,"2,016",2,3
Santa Marta,"2,016",2,2
Sincelejo,"2,016",2,20
Valledupar,"2,016",2,10
Bucaramanga,"2,017",2,2
Pereira,"2,017",2,5
Valledupar,"2,017",2,5
Pasto,"2,012",3,4
Mocoa,"2,013",3,8
Pasto,"2,013",3,7
Santa Marta,"2,013",3,2
Valledupar,"2,013",3,21
Bucaramanga,"2,014",3,3
Cali,"2,014",3,3
Pasto,"2,014",3,10
Sincelejo,"2,014",3,2
Barrancabermeja,"2,015",3,2
Bucaramanga,"2,015",3,1
Mocoa,"2,015",3,1
Pereira,"2,015",3,3
Barrancabermeja,"2,016",3,5
Bucaramanga,"2,016",3,1
Pasto,"2,016",3,63
Pereira,"2,016",3,1
Valledupar,"2,016",3,5
Villavicencio,"2,016",3,2
Barrancabermeja,"2,013",4,7
Pasto,"2,013",4,9
Sincelejo,"2,013",4,7
Valledupar,"2,013",4,8
Villavicencio,"2,013",4,19
Bucaramanga,"2,014",4,8
Cali,"2,014",4,1
Mocoa,"2,014",4,35
Pasto,"2,014",4,47
Sincelejo,"2,014",4,20
Villavicencio,"2,014",4,8
Mocoa,"2,015",4,7
Pereira,"2,015",4,1
Villavicencio,"2,015",4,21
Bucaramanga,"2,016",4,11
Cali,"2,016",4,8
Pereira,"2,016",4,1
Sincelejo,"2,016",4,9
Valledupar,"2,016",4,67
Villavicencio,"2,016",4,3
Bucaramanga,"2,017",4,1
Santa Marta,"2,017",4,24
Pasto,"2,012",5,1
Cali,"2,013",5,5
Mocoa,"2,013",5,9
Pasto,"2,013",5,2
Sincelejo,"2,013",5,26
Villavicencio,"2,013",5,17
Cali,"2,014",5,6
Caucasia,"2,014",5,6
Mocoa,"2,014",5,5
Pasto,"2,014",5,16
Santa Marta,"2,014",5,1
Sincelejo,"2,014",5,14
Barrancabermeja,"2,015",5,3
Bucaramanga,"2,015",5,3
Mocoa,"2,015",5,4
Pasto,"2,015",5,106
Santa Marta,"2,015",5,2
Valledupar,"2,015",5,1
Bucaramanga,"2,016",5,7
Cali,"2,016",5,8
Mocoa,"2,016",5,1
Pasto,"2,016",5,8
Pereira,"2,016",5,28
