FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
01/01/2010 12:00:00 AM,SANTANDER,FLORIDABLANCA,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ARAUCA,SARAVENA,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,SANTANDER,MÁLAGA,Viernes,REVOLVER,CON PERMISO,URBANA,PARQUES,1
01/01/2010 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Viernes,REVOLVER,CON PERMISO,URBANA,CASAS DE HABITACION,1
01/01/2010 12:00:00 AM,VALLE,CARTAGO,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,NARIÑO,PASTO ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,MAGDALENA,FUNDACIÓN,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ARAUCA,ARAUCA ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,BOYACÁ,CHIQUINQUIRÁ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,SANTANDER,PUERTO WILCHES,Viernes,PISTOLA,CON PERMISO,URBANA,PERIMETRO URBANO,1
01/01/2010 12:00:00 AM,GUAJIRA,RIOHACHA ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,BOYACÁ,RAMIRIQUÍ,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,SANTANDER,BARRANCABERMEJA,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,NARIÑO,PASTO ,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CAUCA,POPAYÁN ,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CÓRDOBA,MONTERÍA ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,RISARALDA,PEREIRA ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ARAUCA,ARAUCA ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,VALLE,GUADALAJARA DE BUGA,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CÓRDOBA,MONTERÍA ,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,SOACHA,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CASANARE,PAZ DE ARIPORO,Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,SANTANDER,BARRANCABERMEJA,Viernes,PISTOLA,CON PERMISO,URBANA,PERIMETRO URBANO,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CÓRDOBA,TIERRALTA,Viernes,REVOLVER,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,SANTANDER,MÁLAGA,Viernes,REVOLVER,SIN PERMISO,URBANA,PARQUEADERO,1
01/01/2010 12:00:00 AM,CALDAS,RIOSUCIO,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,PUTUMAYO,MOCOA ,Viernes,PISTOLA,SIN PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
01/01/2010 12:00:00 AM,SANTANDER,FLORIDABLANCA,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Viernes,REVOLVER,SIN PERMISO,URBANA,RODANDO SOBRE VIA - VIA PUBLICA,1
01/01/2010 12:00:00 AM,SANTANDER,BUCARAMANGA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,QUINDÍO,CIRCASIA,Viernes,REVOLVER,SIN PERMISO,URBANA,CAFETERIAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,CHÍA,Viernes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,SANTANDER,ZAPATOCA,Viernes,REVOLVER,SIN PERMISO,URBANA,CASAS DE HABITACION,1
01/01/2010 12:00:00 AM,VALLE,PRADERA,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,RISARALDA,BELÉN DE UMBRÍA,Viernes,REVOLVER,SIN PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
01/01/2010 12:00:00 AM,VALLE,PALMIRA,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,META,VILLAVICENCIO ,Viernes,PISTOLA,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,1
01/01/2010 12:00:00 AM,VALLE,CALI ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,TOLIMA,ESPINAL,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,HUILA,NEIVA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CALDAS,SALAMINA,Viernes,REVOLVER,SIN PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
01/01/2010 12:00:00 AM,VALLE,CALI ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,NARIÑO,PASTO ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CAUCA,TOTORÓ,Viernes,REVOLVER,SIN PERMISO,URBANA,DISCOTECAS,1
