FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
01/01/2011 12:00:00 AM,BOLÍVAR,MAGANGUÉ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,SAN ANDRÉS,SAN ANDRÉS ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,BOYACÁ,CUCAITA,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,GUAJIRA,MAICAO,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,SAN ANDRÉS,SAN ANDRÉS ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,TOLIMA,IBAGUÉ ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,SANTANDER,BARRANCABERMEJA,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,HUILA,CAMPOALEGRE,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,VALLE,PALMIRA,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,BOYACÁ,SOGAMOSO,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,CESAR,VALLEDUPAR ,Sábado,REVOLVER,CON PERMISO,RURAL,CARRETERA,1
01/01/2011 12:00:00 AM,QUINDÍO,ARMENIA ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,QUINDÍO,ARMENIA ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,2
01/01/2011 12:00:00 AM,QUINDÍO,ARMENIA ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,6
01/01/2011 12:00:00 AM,CASANARE,YOPAL ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,CUNDINAMARCA,GIRARDOT,Sábado,REVOLVER,CON PERMISO,URBANA,PUENTE,1
01/01/2011 12:00:00 AM,GUAJIRA,RIOHACHA ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,RISARALDA,GUÁTICA,Sábado,PISTOLA,CON PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
01/01/2011 12:00:00 AM,QUINDÍO,ARMENIA ,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,3
01/01/2011 12:00:00 AM,GUAJIRA,BARRANCAS,Sábado,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,CUNDINAMARCA,SOACHA,Sábado,ESCOPETA,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,1
01/01/2011 12:00:00 AM,QUINDÍO,ARMENIA ,Sábado,REVOLVER,SIN PERMISO,URBANA,CONSULTORIOS MEDICOS,2
01/01/2011 12:00:00 AM,CÓRDOBA,CIÉNAGA DE ORO,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,ATLÁNTICO,SOLEDAD,Sábado,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2011 12:00:00 AM,SANTANDER,GIRÓN,Sábado,ESCOPETA,SIN PERMISO,URBANA,TIENDA,1
