FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
01/01/2012 12:00:00 AM,VALLE,RIOFRÍO,Domingo,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,GUAJIRA,MAICAO,Domingo,ESCOPETA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,VICHADA,LA PRIMAVERA,Domingo,REVOLVER,CON PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
01/01/2012 12:00:00 AM,ANTIOQUIA,CAUCASIA,Domingo,REVOLVER,CON PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
01/01/2012 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,MAGDALENA,ZONA BANANERA,Domingo,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,NORTE DE SANTANDER,CÚCUTA ,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,SANTANDER,VÉLEZ,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,VALLE,PALMIRA,Domingo,REVOLVER,CON PERMISO,RURAL,CARRETERA,1
01/01/2012 12:00:00 AM,BOYACÁ,PUERTO BOYACÁ,Domingo,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,VALLE,CALI ,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,NORTE DE SANTANDER,CÚCUTA ,Domingo,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Domingo,PISTOLA,CON PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,1
01/01/2012 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Domingo,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2012 12:00:00 AM,CHOCÓ,TADÓ,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
