FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
01/01/2013 12:00:00 AM,RISARALDA,PEREIRA ,Martes,PISTOLA,CON PERMISO,RURAL,CARRETERA,1
01/01/2013 12:00:00 AM,SANTANDER,BARRANCABERMEJA,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,ANTIOQUIA,VENECIA,Martes,REVOLVER,CON PERMISO,URBANA,PARQUES,1
01/01/2013 12:00:00 AM,VALLE,BUENAVENTURA,Martes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,NORTE DE SANTANDER,VILLA DEL ROSARIO,Martes,REVOLVER,CON PERMISO,URBANA,CARRETERA,1
01/01/2013 12:00:00 AM,ANTIOQUIA,BARBOSA,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,CAUCA,POPAYÁN ,Martes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,CUNDINAMARCA,TENA,Martes,PISTOLA,CON PERMISO,RURAL,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,BOYACÁ,TUNJA ,Martes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Martes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2013 12:00:00 AM,BOYACÁ,CIÉNEGA,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,ANTIOQUIA,APARTADÓ,Miércoles,REVOLVER,CON PERMISO,RURAL,PUESTO DE CONTROL,1
02/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Miércoles,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,CALDAS,MANIZALES ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Miércoles,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,CUNDINAMARCA,ZIPAQUIRÁ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,VALLE,BUENAVENTURA,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,ATLÁNTICO,SABANALARGA,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,VALLE,BUENAVENTURA,Miércoles,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,VALLE,BUENAVENTURA,Miércoles,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
02/01/2013 12:00:00 AM,CASANARE,HATO COROZAL,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,GUAJIRA,VILLANUEVA,Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Jueves,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,EL COLEGIO,Jueves,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,RISARALDA,LA VIRGINIA,Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,VALLE,YOTOCO,Jueves,REVOLVER,CON PERMISO,RURAL,CARRETERA,1
03/01/2013 12:00:00 AM,VALLE,CALI ,Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,CHOCONTÁ,Jueves,REVOLVER,CON PERMISO,URBANA,PLAZAS DE MERCADO,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,GUADUAS,Jueves,ESCOPETA DE FISTO,CON PERMISO,URBANA,PLAZAS DE MERCADO,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,PAIME,Jueves,ESCOPETA DE FISTO,CON PERMISO,URBANA,PLAZAS DE MERCADO,1
03/01/2013 12:00:00 AM,CUNDINAMARCA,VERGARA,Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,2
04/01/2013 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
04/01/2013 12:00:00 AM,QUINDÍO,ARMENIA ,Viernes,PISTOLA,CON PERMISO,URBANA,PARQUES,1
04/01/2013 12:00:00 AM,RISARALDA,BELÉN DE UMBRÍA,Viernes,PISTOLA,CON PERMISO,RURAL,CARRETERA,1
04/01/2013 12:00:00 AM,BOLÍVAR,CARTAGENA ,Viernes,PISTOLA,CON PERMISO,RURAL,VIAS PUBLICAS,1
04/01/2013 12:00:00 AM,SANTANDER,CIMITARRA,Viernes,ESCOPETA,CON PERMISO,RURAL,FINCAS Y SIMILARES,1
