FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
01/01/2014 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,HUILA,NEIVA ,Miércoles,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,GUATAQUÍ,Miércoles,ESCOPETA DE FISTO,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CAUCA,POPAYÁN ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,VALLE,CALI ,Miércoles,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Miércoles,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,VALLE,TULUÁ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,HUILA,TIMANÁ,Miércoles,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,QUINDÍO,ARMENIA ,Miércoles,REVOLVER,SIN PERMISO,URBANA,"MATADEROS, CARNICERIA Y SIMILARES",1
01/01/2014 12:00:00 AM,BOLÍVAR,CICUCO,Miércoles,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CALDAS,MANIZALES ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,VALLE,CALI ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CÓRDOBA,CHINÚ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CALDAS,SALAMINA,Miércoles,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,META,FUENTE DE ORO,Miércoles,ESCOPETA,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,1
01/01/2014 12:00:00 AM,NARIÑO,SANTA BÁRBARA,Miércoles,REVOLVER,SIN PERMISO,URBANA,MUELLE,1
01/01/2014 12:00:00 AM,BOLÍVAR,CARTAGENA ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CALDAS,MANIZALES ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,VALLE,CALI ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,VALLE,BUENAVENTURA,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,HUILA,NEIVA ,Miércoles,PISTOLA,SIN PERMISO,URBANA,CASAS DE HABITACION,1
01/01/2014 12:00:00 AM,BOLÍVAR,CARTAGENA ,Miércoles,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,2
01/01/2014 12:00:00 AM,VALLE,BUENAVENTURA,Miércoles,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,GIRARDOT,Miércoles,REVOLVER,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,GIRARDOT,Miércoles,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
