FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
01/01/2015 12:00:00 AM,ANTIOQUIA,BELLO,Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,088,000",1
01/01/2015 12:00:00 AM,ANTIOQUIA,COPACABANA,Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,212,000",1
01/01/2015 12:00:00 AM,ANTIOQUIA,RIONEGRO,Jueves,PISTOLA,SIN PERMISO,URBANA,SECTOR INDUSTRIA,"5,615,000",1
01/01/2015 12:00:00 AM,ANTIOQUIA,TURBO,Jueves,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,837,000",1
01/01/2015 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",1
01/01/2015 12:00:00 AM,ATLÁNTICO,SOLEDAD,Jueves,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,758,000",1
01/01/2015 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"13,001,000",1
01/01/2015 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Jueves,REVOLVER,SIN PERMISO,URBANA,CASAS DE HABITACION,"13,001,000",1
01/01/2015 12:00:00 AM,BOYACÁ,DUITAMA,Jueves,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,"15,238,000",1
01/01/2015 12:00:00 AM,BOYACÁ,SORA,Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"15,762,000",1
01/01/2015 12:00:00 AM,CALDAS,MANIZALES (CT),Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"17,001,000",3
01/01/2015 12:00:00 AM,CALDAS,MANZANARES,Jueves,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"17,433,000",1
01/01/2015 12:00:00 AM,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Jueves,REVOLVER,SIN PERMISO,URBANA,DISCOTECAS,"18,753,000",1
01/01/2015 12:00:00 AM,CAUCA,BALBOA,Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,075,000",1
