FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
01/01/2016 12:00:00 AM,ANTIOQUIA,ARGELIA,Viernes,12/31/1899 04:15:00 PM,LA OSA,URBANA,VIAS PUBLICAS,"5,055,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,BARBOSA,Viernes,12/31/1899 10:15:00 AM,VDA. TABLAZO HATILLO,RURAL,VIAS PUBLICAS,"5,079,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Viernes,12/31/1899 12:30:00 AM,ARANJUEZ  C-4,URBANA,VIAS PUBLICAS,"5,001,000",1
01/01/2016 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Viernes,12/31/1899 05:45:00 PM,CASTILLA C-5,URBANA,VIAS PUBLICAS,"5,001,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Viernes,12/31/1899 11:30:00 AM,LOS GIRASOLES,URBANA,VIAS PUBLICAS,"8,001,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Viernes,12/31/1899 08:30:00 PM,SAN ROQUE,URBANA,VIAS PUBLICAS,"8,001,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Viernes,12/31/1899 10:00:00 PM,EL BOSQUE,URBANA,VIAS PUBLICAS,"8,001,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,SABANAGRANDE,Viernes,12/31/1899 04:00:00 PM,SAN JUAN BOSCO,URBANA,VIAS PUBLICAS,"8,634,000",2
01/01/2016 12:00:00 AM,ATLÁNTICO,SABANALARGA,Viernes,12/31/1899 01:50:00 AM,7 DE AGOSTO,URBANA,VIAS PUBLICAS,"8,638,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,SOLEDAD,Viernes,12/31/1899 09:30:00 PM,NUEVO MILENIO,URBANA,VIAS PUBLICAS,"8,758,000",1
01/01/2016 12:00:00 AM,ATLÁNTICO,SOLEDAD,Viernes,12/31/1899 11:35:00 AM,LAS COMETAS,URBANA,VIAS PUBLICAS,"8,758,000",1
01/01/2016 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Viernes,12/31/1899 01:30:00 PM,CASTILLO GRANDE,URBANA,VIAS PUBLICAS,"13,001,000",1
01/01/2016 12:00:00 AM,BOYACÁ,SAN LUIS DE GACENO,Viernes,12/31/1899 11:30:00 AM,VDA. ARRAYANES,RURAL,PISCINA,"15,667,000",1
01/01/2016 12:00:00 AM,CALDAS,ARANZAZU,Viernes,12/31/1899 06:00:00 PM,CENTRO,URBANA,INSTALACIONES DE LA POLICIA,"17,050,000",1
01/01/2016 12:00:00 AM,CASANARE,AGUAZUL,Viernes,12/31/1899 10:50:00 AM,UNETE,RURAL,CARRETERA,"85,010,000",1
01/01/2016 12:00:00 AM,CASANARE,NUNCHÍA,Viernes,12/31/1899 08:55:00 AM,COREA,RURAL,FINCAS Y SIMILARES,"85,225,000",2
01/01/2016 12:00:00 AM,CASANARE,YOPAL (CT),Viernes,12/31/1899 01:40:00 AM,LAS PALMERAS,URBANA,DENTRO DE LA VIVIENDA,"85,001,000",1
01/01/2016 12:00:00 AM,CAUCA,BALBOA,Viernes,12/31/1899 05:00:00 PM,CENTRO,URBANA,DISCOTECAS,"19,075,000",1
01/01/2016 12:00:00 AM,CAUCA,POPAYÁN (CT),Viernes,12/31/1899 03:30:00 PM,ALFONSO LOPEZ,URBANA,VIAS PUBLICAS,"19,001,000",1
01/01/2016 12:00:00 AM,CAUCA,POPAYÁN (CT),Viernes,12/31/1899 07:55:00 PM,LA FLORESTA,URBANA,VIAS PUBLICAS,"19,001,000",1
01/01/2016 12:00:00 AM,CAUCA,SANTANDER DE QUILICHAO,Viernes,12/31/1899 01:00:00 PM,MORALES DUQUE,URBANA,VIAS PUBLICAS,"19,698,000",1
