FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
01/01/2017,AMAZONAS,LETICIA (CT),Domingo,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,"91,001,000",1
01/01/2017,ANTIOQUIA,ANORÍ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,040,000",1
01/01/2017,ANTIOQUIA,FREDONIA,Domingo,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,"5,282,000",1
01/01/2017,ANTIOQUIA,SAN VICENTE,Domingo,PISTOLA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,"5,674,000",1
01/01/2017,ANTIOQUIA,SOPETRÁN,Domingo,ESCOPETA,CON PERMISO,RURAL,FINCAS Y SIMILARES,"5,761,000",1
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,CARABINA,SIN PERMISO,RURAL,ZONA SELVÁTICA,"13,458,000",1
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,FUSIL / RIFLE,SIN PERMISO,RURAL,ZONA SELVÁTICA,"13,458,000",13
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,LANZA GRANADAS,SIN PERMISO,RURAL,ZONA SELVÁTICA,"13,458,000",1
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,PISTOLA,SIN PERMISO,RURAL,ZONA SELVÁTICA,"13,458,000",3
01/01/2017,BOLÍVAR,MONTECRISTO,Domingo,REVOLVER,SIN PERMISO,RURAL,ZONA SELVÁTICA,"13,458,000",2
01/01/2017,BOYACÁ,DUITAMA,Domingo,ESCOPETA DE FISTO,SIN PERMISO,RURAL,FINCAS Y SIMILARES,"15,238,000",1
01/01/2017,CALDAS,MARMATO,Domingo,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,"17,442,000",1
01/01/2017,CASANARE,SAN LUIS DE PALENQUE,Domingo,REVOLVER,SIN PERMISO,RURAL,FINCAS Y SIMILARES,"85,325,000",1
01/01/2017,CAUCA,BUENOS AIRES,Domingo,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,"19,110,000",1
01/01/2017,CAUCA,CORINTO,Domingo,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,"19,212,000",1
01/01/2017,CAUCA,CORINTO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,212,000",1
01/01/2017,CAUCA,PIENDAMÓ,Domingo,REVOLVER,SIN PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES","19,548,000",1
01/01/2017,CAUCA,SANTANDER DE QUILICHAO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,698,000",1
01/01/2017,CAUCA,SANTANDER DE QUILICHAO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,698,000",1
01/01/2017,CESAR,AGUSTÍN CODAZZI,Domingo,ESCOPETA,SIN PERMISO,RURAL,CARRETERA,"20,013,000",1
01/01/2017,CESAR,RÍO DE ORO,Domingo,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"20,614,000",1
01/01/2017,CESAR,VALLEDUPAR (CT),Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"20,001,000",1
01/01/2017,CHOCÓ,QUIBDÓ (CT),Domingo,PISTOLA,SIN PERMISO,URBANA,DENTRO DE LA VIVIENDA,"27,001,000",1
01/01/2017,CÓRDOBA,MOMIL,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"23,464,000",1
01/01/2017,CÓRDOBA,MONTELÍBANO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"23,466,000",1
01/01/2017,CÓRDOBA,SAHAGÚN,Domingo,ESCOPETA,SIN PERMISO,URBANA,FINCAS Y SIMILARES,"23,660,000",1
01/01/2017,CUNDINAMARCA,FUSAGASUGÁ,Domingo,REVOLVER,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,"25,290,000",1
01/01/2017,GUAJIRA,BARRANCAS,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,078,000",1
01/01/2017,GUAJIRA,MAICAO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,430,000",1
01/01/2017,GUAJIRA,MAICAO,Domingo,REVOLVER,CON PERMISO,RURAL,TRAMO DE VIA,"44,430,000",2
01/01/2017,GUAJIRA,MAICAO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,430,000",1
01/01/2017,GUAJIRA,MAICAO,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,430,000",1
01/01/2017,GUAJIRA,MAICAO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,430,000",1
01/01/2017,GUAVIARE,MIRAFLORES,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"95,200,000",1
