FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
01/01/2018,ANTIOQUIA,MEDELLÍN (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,001,000",1
01/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",1
01/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",1
01/01/2018,ATLÁNTICO,CAMPO DE LA CRUZ,Lunes,ESCOPETA,SIN PERMISO,RURAL,CARRETERA,"8,137,000",1
01/01/2018,ATLÁNTICO,SOLEDAD,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,758,000",1
01/01/2018,ATLÁNTICO,SOLEDAD,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,758,000",1
01/01/2018,BOYACÁ,SAN JOSÉ DE PARE,Lunes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,"15,664,000",1
01/01/2018,CALDAS,CHINCHINÁ,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"17,174,000",1
01/01/2018,CALDAS,LA MERCED,Lunes,ESCOPETA,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,"17,388,000",2
01/01/2018,CAUCA,CALOTO,Lunes,PISTOLA,SIN PERMISO,RURAL,CARRETERA,"19,142,000",1
01/01/2018,CAUCA,EL TAMBO,Lunes,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,"19,256,000",1
01/01/2018,CAUCA,POPAYÁN (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,001,000",1
01/01/2018,CAUCA,POPAYÁN (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,001,000",1
01/01/2018,CESAR,SAN ALBERTO,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"20,710,000",1
01/01/2018,CESAR,SAN ALBERTO,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"20,710,000",2
01/01/2018,CHOCÓ,NÓVITA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"27,491,000",1
01/01/2018,CHOCÓ,QUIBDÓ (CT),Lunes,FUSIL / RIFLE,SIN PERMISO,URBANA,ALTAMAR,"27,001,000",1
01/01/2018,CHOCÓ,QUIBDÓ (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,ALTAMAR,"27,001,000",1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",1
01/01/2018,CUNDINAMARCA,GUADUAS,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"25,320,000",1
01/01/2018,CUNDINAMARCA,TENA,Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"25,797,000",1
01/01/2018,GUAJIRA,MAICAO,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,430,000",1
01/01/2018,GUAJIRA,RIOHACHA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,001,000",1
01/01/2018,GUAJIRA,RIOHACHA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"44,001,000",1
01/01/2018,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,AEROPUERTO,"95,001,000",1
01/01/2018,HUILA,NEIVA (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"41,001,000",1
01/01/2018,HUILA,NEIVA (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"41,001,000",1
01/01/2018,HUILA,TIMANÁ,Lunes,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,"41,807,000",1
01/01/2018,MAGDALENA,FUNDACIÓN,Lunes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"47,288,000",1
01/01/2018,MAGDALENA,SANTA MARTA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"47,001,000",1
01/01/2018,MAGDALENA,SANTA MARTA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"47,001,000",1
01/01/2018,NARIÑO,SAN ANDRES DE TUMACO,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"52,835,000",1
01/01/2018,NARIÑO,YACUANQUER,Lunes,REVOLVER,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,"52,885,000",1
01/01/2018,NORTE DE SANTANDER,OCAÑA,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"54,498,000",1
01/01/2018,NORTE DE SANTANDER,TIBÚ,Lunes,PISTOLA,SIN PERMISO,RURAL,CARRETERA,"54,810,000",1
01/01/2018,PUTUMAYO,PUERTO ASÍS,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"86,568,000",1
01/01/2018,RISARALDA,LA VIRGINIA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"66,400,000",1
01/01/2018,SANTANDER,BUCARAMANGA (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"68,001,000",1
01/01/2018,SANTANDER,FLORIDABLANCA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"68,276,000",1
01/01/2018,SUCRE,LOS PALMITOS,Lunes,PISTOLA,CON PERMISO,RURAL,TRAMO DE VIA,"70,418,000",1
01/01/2018,SUCRE,SINCELEJO (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"70,001,000",1
01/01/2018,TOLIMA,PLANADAS,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"73,555,000",1
01/01/2018,TOLIMA,SALDAÑA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"73,671,000",1
01/01/2018,VALLE,ALCALÁ,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,020,000",1
01/01/2018,VALLE,BUENAVENTURA,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,109,000",1
01/01/2018,VALLE,CALI (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",1
01/01/2018,VALLE,CALI (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",1
01/01/2018,VALLE,CALI (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",1
01/01/2018,VALLE,CALI (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",1
01/01/2018,VALLE,CALI (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",1
01/01/2018,VALLE,CALI (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",1
01/01/2018,VALLE,CANDELARIA,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,130,000",1
01/01/2018,VALLE,JAMUNDÍ,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,364,000",1
01/01/2018,VALLE,JAMUNDÍ,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,364,000",1
01/01/2018,VALLE,PALMIRA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,520,000",1
02/01/2018,ANTIOQUIA,BETULIA,Martes,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,"5,093,000",1
02/01/2018,ANTIOQUIA,ITAGUI,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,"5,360,000",1
02/01/2018,ANTIOQUIA,LA ESTRELLA,Martes,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,"5,380,000",1
02/01/2018,ANTIOQUIA,MEDELLÍN (CT),Martes,FUSIL / RIFLE,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,001,000",1
02/01/2018,ANTIOQUIA,MEDELLÍN (CT),Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,001,000",1
02/01/2018,ANTIOQUIA,MEDELLÍN (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,001,000",1
02/01/2018,ANTIOQUIA,PUERTO TRIUNFO,Martes,REVOLVER,CON PERMISO,RURAL,TRAMO DE VIA,"5,591,000",1
02/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",1
02/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",1
02/01/2018,BOLÍVAR,CARTAGENA (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"13,001,000",1
02/01/2018,BOLÍVAR,CARTAGENA (CT),Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"13,001,000",1
02/01/2018,BOYACÁ,EL COCUY,Martes,ESCOPETA DE FISTO,SIN PERMISO,RURAL,VIAS PUBLICAS,"15,244,000",1
02/01/2018,BOYACÁ,MONGUA,Martes,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,"15,464,000",1
