Departamento,Año Desmovilización,Número Desmovilizados
AMAZONAS,2018,0
ANTIOQUIA,2018,18
ARAUCA,2018,8
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2018,0
ATLANTICO,2018,4
BOGOTA D.C.,2018,44
BOLIVAR,2018,0
BOYACA,2018,0
CALDAS,2018,1
CAQUETA,2018,5
CASANARE,2018,1
CAUCA,2018,3
CESAR,2018,5
CHOCO,2018,11
CORDOBA,2018,2
CUNDINAMARCA,2018,13
GUAINIA,2018,0
GUAVIARE,2018,0
HUILA,2018,4
LA GUAJIRA,2018,3
MAGDALENA,2018,2
META,2018,18
NARINO,2018,5
NORTE DE SANTANDER,2018,9
PUTUMAYO,2018,5
QUINDIO,2018,1
RISARALDA,2018,9
SANTANDER,2018,5
SUCRE,2018,0
TOLIMA,2018,6
VALLE DEL CAUCA,2018,21
VAUPES,2018,0
VICHADA,2018,0
Por establecer,2018,14
AMAZONAS,2017,1
ANTIOQUIA,2017,62
ARAUCA,2017,9
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2017,0
ATLANTICO,2017,0
BOGOTA D.C.,2017,56
BOLIVAR,2017,8
BOYACA,2017,10
CALDAS,2017,3
CAQUETA,2017,38
CASANARE,2017,12
CAUCA,2017,24
CESAR,2017,10
CHOCO,2017,36
CORDOBA,2017,2
CUNDINAMARCA,2017,27
GUAINIA,2017,2
GUAVIARE,2017,29
HUILA,2017,29
LA GUAJIRA,2017,7
MAGDALENA,2017,2
META,2017,116
NARINO,2017,92
NORTE DE SANTANDER,2017,15
PUTUMAYO,2017,6
QUINDIO,2017,11
RISARALDA,2017,10
SANTANDER,2017,12
SUCRE,2017,4
TOLIMA,2017,17
VALLE DEL CAUCA,2017,60
VAUPES,2017,6
VICHADA,2017,5
Por establecer,2017,14
AMAZONAS,2016,0
ANTIOQUIA,2016,68
ARAUCA,2016,13
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2016,0
ATLANTICO,2016,6
BOGOTA D.C.,2016,41
BOLIVAR,2016,4
BOYACA,2016,2
CALDAS,2016,8
CAQUETA,2016,60
CASANARE,2016,1
CAUCA,2016,21
CESAR,2016,16
CHOCO,2016,25
CORDOBA,2016,10
CUNDINAMARCA,2016,22
GUAINIA,2016,4
GUAVIARE,2016,12
HUILA,2016,28
LA GUAJIRA,2016,4
MAGDALENA,2016,4
META,2016,98
NARINO,2016,16
NORTE DE SANTANDER,2016,22
PUTUMAYO,2016,10
QUINDIO,2016,7
RISARALDA,2016,15
SANTANDER,2016,14
SUCRE,2016,1
TOLIMA,2016,10
VALLE DEL CAUCA,2016,55
VAUPES,2016,8
VICHADA,2016,2
Por establecer,2016,13
AMAZONAS,2015,0
ANTIOQUIA,2015,87
ARAUCA,2015,8
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2015,0
ATLANTICO,2015,2
BOGOTA D.C.,2015,58
BOLIVAR,2015,6
BOYACA,2015,5
CALDAS,2015,5
CAQUETA,2015,60
CASANARE,2015,19
CAUCA,2015,44
CESAR,2015,11
CHOCO,2015,20
CORDOBA,2015,10
CUNDINAMARCA,2015,35
GUAINIA,2015,3
GUAVIARE,2015,13
HUILA,2015,49
LA GUAJIRA,2015,2
MAGDALENA,2015,2
META,2015,67
NARINO,2015,16
NORTE DE SANTANDER,2015,9
PUTUMAYO,2015,25
QUINDIO,2015,11
RISARALDA,2015,19
SANTANDER,2015,21
SUCRE,2015,1
TOLIMA,2015,31
VALLE DEL CAUCA,2015,80
VAUPES,2015,6
VICHADA,2015,4
Por establecer,2015,4
AMAZONAS,2014,1
ANTIOQUIA,2014,118
ARAUCA,2014,11
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2014,0
ATLANTICO,2014,6
BOGOTA D.C.,2014,68
BOLIVAR,2014,12
BOYACA,2014,10
CALDAS,2014,9
CAQUETA,2014,74
CASANARE,2014,14
CAUCA,2014,40
CESAR,2014,22
CHOCO,2014,14
CORDOBA,2014,9
CUNDINAMARCA,2014,43
GUAINIA,2014,3
GUAVIARE,2014,14
HUILA,2014,65
LA GUAJIRA,2014,11
MAGDALENA,2014,4
META,2014,126
NARINO,2014,16
NORTE DE SANTANDER,2014,33
PUTUMAYO,2014,10
QUINDIO,2014,20
RISARALDA,2014,15
SANTANDER,2014,29
SUCRE,2014,4
TOLIMA,2014,50
VALLE DEL CAUCA,2014,80
VAUPES,2014,2
VICHADA,2014,2
Por establecer,2014,6
AMAZONAS,2013,1
ANTIOQUIA,2013,127
ARAUCA,2013,9
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2013,0
ATLANTICO,2013,10
BOGOTA D.C.,2013,88
BOLIVAR,2013,10
BOYACA,2013,2
CALDAS,2013,15
CAQUETA,2013,64
CASANARE,2013,14
CAUCA,2013,60
CESAR,2013,28
CHOCO,2013,22
CORDOBA,2013,11
CUNDINAMARCA,2013,37
GUAINIA,2013,6
GUAVIARE,2013,11
HUILA,2013,42
LA GUAJIRA,2013,13
MAGDALENA,2013,13
META,2013,120
NARINO,2013,23
NORTE DE SANTANDER,2013,21
PUTUMAYO,2013,44
QUINDIO,2013,9
RISARALDA,2013,25
SANTANDER,2013,36
SUCRE,2013,1
TOLIMA,2013,38
VALLE DEL CAUCA,2013,133
VAUPES,2013,2
VICHADA,2013,0
Por establecer,2013,15
AMAZONAS,2012,1
ANTIOQUIA,2012,113
ARAUCA,2012,9
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2012,0
ATLANTICO,2012,3
BOGOTA D.C.,2012,104
BOLIVAR,2012,8
BOYACA,2012,8
CALDAS,2012,7
CAQUETA,2012,48
CASANARE,2012,23
CAUCA,2012,20
CESAR,2012,17
CHOCO,2012,13
CORDOBA,2012,5
