Departamento,Año Desmovilización,Número Desmovilizados
AMAZONAS,"2,018",0
ANTIOQUIA,"2,018",18
ARAUCA,"2,018",8
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,018",0
ATLANTICO,"2,018",4
BOGOTA D.C.,"2,018",44
BOLIVAR,"2,018",0
BOYACA,"2,018",0
CALDAS,"2,018",1
CAQUETA,"2,018",5
CASANARE,"2,018",1
CAUCA,"2,018",3
CESAR,"2,018",5
CHOCO,"2,018",11
CORDOBA,"2,018",2
CUNDINAMARCA,"2,018",13
GUAINIA,"2,018",0
GUAVIARE,"2,018",0
HUILA,"2,018",4
LA GUAJIRA,"2,018",3
MAGDALENA,"2,018",2
META,"2,018",18
NARINO,"2,018",5
NORTE DE SANTANDER,"2,018",9
PUTUMAYO,"2,018",5
QUINDIO,"2,018",1
RISARALDA,"2,018",9
SANTANDER,"2,018",5
SUCRE,"2,018",0
TOLIMA,"2,018",6
VALLE DEL CAUCA,"2,018",21
VAUPES,"2,018",0
VICHADA,"2,018",0
Por establecer,"2,018",14
AMAZONAS,"2,017",1
ANTIOQUIA,"2,017",62
ARAUCA,"2,017",9
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,017",0
ATLANTICO,"2,017",0
BOGOTA D.C.,"2,017",56
BOLIVAR,"2,017",8
BOYACA,"2,017",10
CALDAS,"2,017",3
CAQUETA,"2,017",38
CASANARE,"2,017",12
CAUCA,"2,017",24
CESAR,"2,017",10
CHOCO,"2,017",36
CORDOBA,"2,017",2
CUNDINAMARCA,"2,017",27
GUAINIA,"2,017",2
GUAVIARE,"2,017",29
HUILA,"2,017",29
LA GUAJIRA,"2,017",7
MAGDALENA,"2,017",2
META,"2,017",116
NARINO,"2,017",92
NORTE DE SANTANDER,"2,017",15
PUTUMAYO,"2,017",6
QUINDIO,"2,017",11
RISARALDA,"2,017",10
SANTANDER,"2,017",12
SUCRE,"2,017",4
TOLIMA,"2,017",17
VALLE DEL CAUCA,"2,017",60
VAUPES,"2,017",6
VICHADA,"2,017",5
Por establecer,"2,017",14
AMAZONAS,"2,016",0
ANTIOQUIA,"2,016",68
ARAUCA,"2,016",13
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,016",0
ATLANTICO,"2,016",6
BOGOTA D.C.,"2,016",41
BOLIVAR,"2,016",4
BOYACA,"2,016",2
CALDAS,"2,016",8
CAQUETA,"2,016",60
CASANARE,"2,016",1
CAUCA,"2,016",21
CESAR,"2,016",16
CHOCO,"2,016",25
CORDOBA,"2,016",10
CUNDINAMARCA,"2,016",22
GUAINIA,"2,016",4
GUAVIARE,"2,016",12
HUILA,"2,016",28
LA GUAJIRA,"2,016",4
MAGDALENA,"2,016",4
META,"2,016",98
NARINO,"2,016",16
NORTE DE SANTANDER,"2,016",22
PUTUMAYO,"2,016",10
QUINDIO,"2,016",7
RISARALDA,"2,016",15
SANTANDER,"2,016",14
SUCRE,"2,016",1
TOLIMA,"2,016",10
VALLE DEL CAUCA,"2,016",55
VAUPES,"2,016",8
VICHADA,"2,016",2
Por establecer,"2,016",13
AMAZONAS,"2,015",0
ANTIOQUIA,"2,015",87
ARAUCA,"2,015",8
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,015",0
ATLANTICO,"2,015",2
BOGOTA D.C.,"2,015",58
BOLIVAR,"2,015",6
BOYACA,"2,015",5
CALDAS,"2,015",5
CAQUETA,"2,015",60
CASANARE,"2,015",19
CAUCA,"2,015",44
CESAR,"2,015",11
CHOCO,"2,015",20
CORDOBA,"2,015",10
CUNDINAMARCA,"2,015",35
GUAINIA,"2,015",3
GUAVIARE,"2,015",13
HUILA,"2,015",49
LA GUAJIRA,"2,015",2
MAGDALENA,"2,015",2
META,"2,015",67
NARINO,"2,015",16
NORTE DE SANTANDER,"2,015",9
PUTUMAYO,"2,015",25
QUINDIO,"2,015",11
RISARALDA,"2,015",19
SANTANDER,"2,015",21
SUCRE,"2,015",1
TOLIMA,"2,015",31
VALLE DEL CAUCA,"2,015",80
VAUPES,"2,015",6
VICHADA,"2,015",4
Por establecer,"2,015",4
AMAZONAS,"2,014",1
ANTIOQUIA,"2,014",118
ARAUCA,"2,014",11
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,014",0
ATLANTICO,"2,014",6
BOGOTA D.C.,"2,014",68
BOLIVAR,"2,014",12
BOYACA,"2,014",10
CALDAS,"2,014",9
CAQUETA,"2,014",74
CASANARE,"2,014",14
CAUCA,"2,014",40
CESAR,"2,014",22
CHOCO,"2,014",14
CORDOBA,"2,014",9
CUNDINAMARCA,"2,014",43
GUAINIA,"2,014",3
GUAVIARE,"2,014",14
HUILA,"2,014",65
LA GUAJIRA,"2,014",11
MAGDALENA,"2,014",4
META,"2,014",126
NARINO,"2,014",16
NORTE DE SANTANDER,"2,014",33
PUTUMAYO,"2,014",10
QUINDIO,"2,014",20
RISARALDA,"2,014",15
SANTANDER,"2,014",29
SUCRE,"2,014",4
TOLIMA,"2,014",50
VALLE DEL CAUCA,"2,014",80
VAUPES,"2,014",2
VICHADA,"2,014",2
Por establecer,"2,014",6
AMAZONAS,"2,013",1
ANTIOQUIA,"2,013",127
ARAUCA,"2,013",9
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,013",0
ATLANTICO,"2,013",10
BOGOTA D.C.,"2,013",88
BOLIVAR,"2,013",10
BOYACA,"2,013",2
CALDAS,"2,013",15
CAQUETA,"2,013",64
CASANARE,"2,013",14
CAUCA,"2,013",60
CESAR,"2,013",28
CHOCO,"2,013",22
CORDOBA,"2,013",11
CUNDINAMARCA,"2,013",37
GUAINIA,"2,013",6
GUAVIARE,"2,013",11
HUILA,"2,013",42
LA GUAJIRA,"2,013",13
MAGDALENA,"2,013",13
