FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,CODIGO DANE,2015
31/12/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,9:30,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"5,001,000",1
31/12/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,10:14,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"5,001,000",1
31/12/2015,BOYACÁ,TUNJA (CT),Jueves,0:00,CENTRO,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"15,001,000",1
31/12/2015,CASANARE,TRINIDAD,Jueves,8:00,CENTRAL DE TRINIDAD,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"85,430,000",1
31/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,0:00,BELLA SUIZA E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
31/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,7:30,VERBENAL E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
31/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,18:30,LAS MARGARITAS E-1,URBANA,CENTRO COMERCIAL,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
31/12/2015,HUILA,LA PLATA,Jueves,22:00,PRIMERO DE MAYO I ETAPA,URBANA,CASAS DE HABITACION,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,NO REPORTADO,A PIE,"41,396,000",1
31/12/2015,NARIÑO,TANGUA,Jueves,21:55,VEREDA CEBADAL,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"52,788,000",1
31/12/2015,SANTANDER,BUCARAMANGA (CT),Jueves,5:22,ASTURIAS,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"68,001,000",1
