MUNICIPIO,INSTITUCIÓN EDUCATIVA,SEDE,FEMENINO,MASCULINO
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,ARTURO GOMEZ JARAMILLO,23,17
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,CRISTOBAL COLON,1,0
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,FRANCISCO DE PAULA SANTANDER,0,1
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,JOSE IGNACIO RENGIFO,2,3
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,MANUEL MEJIA,2,0
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,NUEVA GRANADA,1,1
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,SANTA TERESITA,0,2
ALCALÁ,IE ARTURO GOMEZ JARAMILLO,SANTO TOMAS DE AQUINO,13,16
ALCALÁ,IE SAN JOSE,MARIA AUXILIADORA,16,13
ALCALÁ,IE SAN JOSE,SAN JOSÉ,9,10
ANDALUCÍA,IE AGRICOLA CAMPOALEGRE,AGRICOLA CAMPOALEGRE,1,1
ANDALUCÍA,IE AGRICOLA CAMPOALEGRE,ISABEL ARAGON,1,0
ANDALUCÍA,IE AGRICOLA CAMPOALEGRE,JOSE MARIA CORDOBA,1,0
ANDALUCÍA,IE AGRICOLA CAMPOALEGRE,PRIMITIVO CRESPO,0,1
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,ANTONIA SANTOS,0,3
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,ELEAZAR LIBREROS SALAMANCA,20,15
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,JUAN DE DIOS RODRIGUEZ,1,3
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,MANUELA BELTRAN,1,3
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,MARCO TULIO LORA,2,3
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,PEDRO ANTONIO MOLINA,3,4
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,SAN VICENTE FERRER,1,1
ANDALUCÍA,IE ELEAZAR LIBREROS SALAMANCA,SIMON BOLIVAR,9,2
ANSERMANUEVO,IE EL PLACER,EL PLACER,2,0
ANSERMANUEVO,IE EL PLACER,JUAN XXIII,1,0
ANSERMANUEVO,IE EL PLACER,RICARDO NIETO,0,2
ANSERMANUEVO,IE JORGE ISAACS,CARTAGENA DE INDIAS,1,2
ANSERMANUEVO,IE JORGE ISAACS,JORGE ISAACS,2,1
ANSERMANUEVO,IE SANTA ANA DE LOS CABALLEROS,ANTONIO JOSE DE SUCRE,1,1
ANSERMANUEVO,IE SANTA ANA DE LOS CABALLEROS,ANTONIO RICAURTE,1,1
ANSERMANUEVO,IE SANTA ANA DE LOS CABALLEROS,LAUREANO GOMEZ,1,0
ANSERMANUEVO,IE SANTA ANA DE LOS CABALLEROS,MARCO FIDEL SUAREZ,4,2
ANSERMANUEVO,IE SANTA ANA DE LOS CABALLEROS,PIO XII,2,2
ANSERMANUEVO,IE SANTA ANA DE LOS CABALLEROS,SANTA ANA DE LOS CABALLEROS,4,3
ANSERMANUEVO,IE SANTA INES,SANTA INES,2,1
ARGELIA,IE GILBERTO ALZATE AVENDAÑO.,FABIO MARTÍNEZ CIFUENTES,0,2
ARGELIA,IE GILBERTO ALZATE AVENDAÑO.,GILBERTO ALZATE AVENDAÑO,19,9
ARGELIA,IE GILBERTO ALZATE AVENDAÑO.,MANUEL MEJIA VÉLEZ,3,8
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,ANTONIA SANTOS,1,0
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,BUENOS AIRES,1,0
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,CRISTOBAL COLON,0,1
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,FRANCISCO JOSE DE CALDAS,0,1
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,JUAN HURTADO,0,1
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,PABLO GERARDO PEREZ,1,0
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,PANAMERICANA,2,0
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,SANTA ELENA,0,3
ARGELIA,IE SANTIAGO GUTIERREZ ANGEL,SANTIAGO GUTIERREZ ANGEL,6,5
BOLÍVAR,IE BETANIA,MANUEL DOLORES MONDRAGON,2,0
BOLÍVAR,IE BETANIA,SANTA MONICA,1,1
BOLÍVAR,IE LA TULIA,ANTONIO NARIÑO,2,3
BOLÍVAR,IE LA TULIA,MANUEL DOLORES MONDRAGON,3,5
BOLÍVAR,IE LA TULIA,MARIA INMACULADA,4,0
BOLÍVAR,IE MANUEL DOLORES MONDRAGON,JULIO CAICEDO Y TELLEZ,0,1
BOLÍVAR,IE MANUEL DOLORES MONDRAGON,MANUEL DOLORES MONDRAGON,2,5
BOLÍVAR,IE MANUEL DOLORES MONDRAGON,MARIA AGUSTINA MADRID,0,1
BOLÍVAR,IE NARANJAL,MANUEL DOLORES MONDRAGON,5,4
BOLÍVAR,IE NARANJAL,SANJUAN BOSCO,2,4
BOLÍVAR,IE PRIMAVERA,CONCENTRACION AGRICOLA,1,2
BOLÍVAR,IE PRIMAVERA,MARIA AUXILIADORA,2,1
BOLÍVAR,IE PRIMAVERA,POLICARPA SALAVARRIETA,1,1
BOLÍVAR,IE RODRIGO LLOREDA CAICEDO,POLICARPA SALAVARRIETA,0,1
BOLÍVAR,IE RODRIGO LLOREDA CAICEDO,RODRIGO LLOREDA,3,2
BUGALAGRANDE,IE  CEILAN,ALFONSO LOPEZ PUMAREJO,3,2
BUGALAGRANDE,IE  CEILAN,ALTO BONITO,5,2
BUGALAGRANDE,IE  CEILAN,DIVINO NIÑO,2,2
BUGALAGRANDE,IE  CEILAN,INSTITUTO AGRICOLA CEILAN,18,15
BUGALAGRANDE,IE  CEILAN,JOSE ACEVEDO Y GOMEZ,1,1
BUGALAGRANDE,IE  CEILAN,JOSE ASUNCION SILVA,0,2
BUGALAGRANDE,IE  CEILAN,JOSE JOAQUIN CASAS,1,0
BUGALAGRANDE,IE  CEILAN,POLICARPA SALAVARRIETA,8,9
BUGALAGRANDE,IE  CEILAN,SIMON BOLIVAR,11,3
BUGALAGRANDE,IE  CEILAN,VIRGEN LA MILAGROSA,0,1
BUGALAGRANDE,IE ANTONIO NARIÑO,ANTONIO NARIÑO,28,19
BUGALAGRANDE,IE ANTONIO NARIÑO,JOSE MARÍA CABAL,2,0
BUGALAGRANDE,IE ANTONIO NARIÑO,MAGDALENA ORTEGA,5,10
BUGALAGRANDE,IE ANTONIO NARIÑO,MARÍA INMACULADA,4,5
BUGALAGRANDE,IE ANTONIO NARIÑO,SAN JOSE,1,0
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,ANTONIO NARIÑO CHORRERAS,8,6
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,ANTONIO NARIÑO LA URIBE,1,0
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,ANTONIO RICAURTE,6,2
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,CAMILO TORRES,0,1
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,DIEGO RENGIFO SALAZAR,9,6
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,ERNESTO PIZARRO,1,0
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,JHON F. KENEDY,0,3
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,JUAN DEL CORRAL,1,7
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,JUAN XXIII,0,1
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,JULIAN URIBE URIBE,0,4
BUGALAGRANDE,IE DIEGO RENGIFO SALAZAR,MARIANO OSPINA PEREZ,2,3
BUGALAGRANDE,IE MARIANO GONZALEZ,ANTONIA SANTOS,0,2
BUGALAGRANDE,IE MARIANO GONZALEZ,ANTONIO NARIÑO,3,2
BUGALAGRANDE,IE MARIANO GONZALEZ,FRANCISCO DE PAULA SANTANDER,1,0
BUGALAGRANDE,IE MARIANO GONZALEZ,JUAN JOSE RONDON,0,1
BUGALAGRANDE,IE MARIANO GONZALEZ,JULIO ARBOLEDA,3,0
BUGALAGRANDE,IE MARIANO GONZALEZ,MARIANO GONZALEZ,0,6
CAICEDONIA,IE ANTONIA SANTOS,ANTONIA SANTOS,3,4
CAICEDONIA,IE ANTONIA SANTOS,GUILLERMO BORRERO OLANO,3,4
CAICEDONIA,IE ANTONIA SANTOS,SANTA RITA NO 12,1,0
CAICEDONIA,IE BOLIVARIANO,BOLIVARIANO,10,17
CAICEDONIA,IE BOLIVARIANO,CENT DOC NO 03 LAS AMERICAS,2,3
CAICEDONIA,IE BOLIVARIANO,CENT DOC NO 05 SANTA INES,1,1
CAICEDONIA,IE BOLIVARIANO,CONC  URB  JOSE EUSEBIO CARO,3,3
CAICEDONIA,IE BOLIVARIANO,GABRIELA MISTRAL,3,2
CAICEDONIA,IE BOLIVARIANO,NUESTRA SEÑORA DEL CARMEN,0,1
CAICEDONIA,IE GILBERTO ALZATE AVENDAÑO,CENT DOC   NO  29 POLICARPA SALAVARRIETA,1,1
CAICEDONIA,IE GILBERTO ALZATE AVENDAÑO,CENT DOC   NO 32 LA PAVA,0,1
CAICEDONIA,IE GILBERTO ALZATE AVENDAÑO,CENT DOC NO 22  GILBERTO ALZATE AVENDAÑO,7,5
CAICEDONIA,IE GILBERTO ALZATE AVENDAÑO,ESC RUR  MIX  NO 47  JUAN PABLO I,0,2
CAICEDONIA,IE LA CONSOLITA,CELIO BAENA,0,1
CAICEDONIA,IE LA CONSOLITA,LA CONSOLITA,3,5
CAICEDONIA,IE LA CONSOLITA,LA POLA,0,1
CAICEDONIA,IE LA CONSOLITA,SAN LUIS,0,1
CAICEDONIA,IE NORMAL SUPERIOR MARIA INMACULADA,CENT  DOC  NO  08 TRES DE AGOSTO,2,1
CAICEDONIA,IE NORMAL SUPERIOR MARIA INMACULADA,CENT DOC N 01 PARROQUIAL,1,1
