TIPO DE VICTIMA,DANE UBICACION,DEPARTAMENTO UBICACION,MUNICIPIO UBICACION,CICLO VITAL,DISCAPACIDAD,ETNIA,GENERO,PERSONAS
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Sin discapacidad,Ninguna,LGBTI,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Con discapacidad,Ninguna,Mujer,3
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Con discapacidad,Ninguna,Mujer,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Con discapacidad,Ninguna,Mujer,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 61 y 100,Con discapacidad,Ninguna,Mujer,3
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,ND,Sin discapacidad,Ninguna,Mujer,24
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 0 y 5,Sin discapacidad,Ninguna,Mujer,11
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 6 y 11,Sin discapacidad,Ninguna,Mujer,40
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Sin discapacidad,Ninguna,Mujer,41
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Sin discapacidad,Ninguna,Mujer,54
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Sin discapacidad,Ninguna,Mujer,168
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 61 y 100,Sin discapacidad,Ninguna,Mujer,35
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Sin discapacidad,Indigena,Mujer,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Con discapacidad,Gitano(a) ROM,Mujer,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,2
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,7
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,8
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 61 y 100,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 6 y 11,Con discapacidad,Ninguna,Hombre,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Con discapacidad,Ninguna,Hombre,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Con discapacidad,Ninguna,Hombre,2
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Con discapacidad,Ninguna,Hombre,3
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,ND,Sin discapacidad,Ninguna,Hombre,59
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 0 y 5,Sin discapacidad,Ninguna,Hombre,13
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 6 y 11,Sin discapacidad,Ninguna,Hombre,35
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Sin discapacidad,Ninguna,Hombre,54
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Sin discapacidad,Ninguna,Hombre,69
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Sin discapacidad,Ninguna,Hombre,149
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 61 y 100,Sin discapacidad,Ninguna,Hombre,32
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,1
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,7
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 29 y 60,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,10
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 61 y 100,Sin discapacidad,Negro(a) o Afrocolombiano(a),Hombre,2
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,ND,Sin discapacidad,Ninguna,No Informa,12
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 12 y 17,Sin discapacidad,Ninguna,No Informa,2
Víctimas de conflicto armado,76100,VALLE DEL CAUCA,BOLIVAR,entre 18 y 28,Sin discapacidad,Ninguna,No Informa,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Ninguna,LGBTI,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,ND,Con discapacidad,Ninguna,Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 6 y 11,Con discapacidad,Ninguna,Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Con discapacidad,Ninguna,Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Con discapacidad,Ninguna,Mujer,4
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Con discapacidad,Ninguna,Mujer,19
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 61 y 100,Con discapacidad,Ninguna,Mujer,18
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,ND,Sin discapacidad,Ninguna,Mujer,44
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 0 y 5,Sin discapacidad,Ninguna,Mujer,35
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 6 y 11,Sin discapacidad,Ninguna,Mujer,69
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Sin discapacidad,Ninguna,Mujer,83
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Ninguna,Mujer,142
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Ninguna,Mujer,412
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 61 y 100,Sin discapacidad,Ninguna,Mujer,92
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Con discapacidad,Indigena,Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Indigena,Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Indigena,Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Sin discapacidad,Gitano(a) ROM,Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Gitano(a) ROM,Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Gitano(a) ROM,Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 0 y 5,Con discapacidad,Negro(a) o Afrocolombiano(a),Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 6 y 11,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,4
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,7
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 61 y 100,Sin discapacidad,Negro(a) o Afrocolombiano(a),Mujer,2
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 6 y 11,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Raizal del Archipielago de San Andres y Providencia,Mujer,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,ND,Con discapacidad,Ninguna,Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Con discapacidad,Ninguna,Hombre,3
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Con discapacidad,Ninguna,Hombre,6
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Con discapacidad,Ninguna,Hombre,27
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 61 y 100,Con discapacidad,Ninguna,Hombre,10
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,ND,Sin discapacidad,Ninguna,Hombre,97
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 0 y 5,Sin discapacidad,Ninguna,Hombre,25
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 6 y 11,Sin discapacidad,Ninguna,Hombre,87
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 12 y 17,Sin discapacidad,Ninguna,Hombre,91
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Ninguna,Hombre,179
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 29 y 60,Sin discapacidad,Ninguna,Hombre,334
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 61 y 100,Sin discapacidad,Ninguna,Hombre,84
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 6 y 11,Sin discapacidad,Indigena,Hombre,1
Víctimas de conflicto armado,76400,VALLE DEL CAUCA,LA UNION,entre 18 y 28,Sin discapacidad,Indigena,Hombre,1
