departamento,estacion,numerodecontacto,cuadrante
Bogotá,Estación de Policía fontibon,"3,008,082,442",24
Bogotá,Estación de Policía suba,"3,007,458,884",75
Valle,Estación de Policía tulua,"3,016,521,417",18
Valle,Estación de Policía Cascajal,"3,014,408,292",36
Bogotá,Estación de Policía chapinero,"3,013,460,956",37
SantaMarta,Estación de Policía la paz,"3,008,738,898",2
Bogotá,Estación de Policía teusaquillo,"3,007,458,820",27
Cesar,Estación de Policía Aguachica,"3,154,981,463",3
Bogotá,Estación de Policía engativa,"3,007,458,724",61
SantaMarta,Estación de Policía el rodadero,"3,008,740,985",2
Pereira,subEstación tres puertas,"3,136,682,008",1
Cali,Estación de Policía alfonso lopez,"3,105,313,456",5
Cartagena,Estación de Policía centro historico,"3,116,837,723",24
Pasto,Estación sur,"3,218,431,174",25
Cartagena,Estación de Policía los caracoles,"3,135,495,830",5
Pasto,Estación sur,"3,218,431,158",10
Bogotá,Estación de Policía chapinero,"3,017,566,332",29
Barranquilla,Estación de Policía riomar,"3,013,461,743",2
Bogotá,Estación de Policía suba,"3,013,460,872",88
Bogotá,Estación de Policía ciudad bolivar,"3,002,013,104",18
Cartagena,Estación de Policía nuevo bosque,"3,106,501,550",15
Neiva,Estación de Policía neiva,"3,016,558,013",16
Barranquilla,Estación de Policía los almendros,"3,013,461,214",5
Pasto,Estación sur,"3,218,431,150",2
Bogotá,Estación de Policía kennedy,"3,002,010,467",74
ValledeAburra,Estación de Policía itagui,"3,014,432,770",7
SantaMarta,Estación de Policía cienaga,"3,016,871,850",10
Bogotá,Estación de Policía ciudad bolivar,"3,002,013,451",42
Tolima,Estación de Policía espinal,"3,203,448,162",4
Valle,Estación de Policía el aguila,"3,136,276,447",1
ValledeAburra,Estación San Javier,"3,127,217,133",2
Bucaramanga,Estación e-03 sur,"3,013,461,871",16
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,748,768",6
Bogotá,Estación de Policía tunjuelito,"3,002,002,262",10
Barranquilla,Estación de Policía san jose,"3,013,461,239",6
Cali,Estación el diamante,"3,105,279,235",10
ValledeAburra,Estación de Policía la candelaria,"3,006,151,511",52
Valle,Estación de Policía tulua,"3,174,328,711",15
