TERRITORIO,Edades entre 0 y 5,Edades entre 6 y 11,Edades entre 12 y 17, VICTIMAS DEL COMFLICTO ARMADO EN EL VALLE DEL CAUCA
BUENAVENTURA,"8,640","22,649","25,594","56,883"
CALI,"6,234","15,203","17,274","38,711"
TULUA,929,"2,530","3,225","6,684"
JAMUNDI,462,"1,124","1,489","3,075"
PALMIRA,411,"1,196","1,503","3,110"
GUADALAJARA DE BUGA,361,827,991,"2,179"
DAGUA,322,862,"1,102","2,286"
YUMBO,262,662,828,"1,752"
FLORIDA,176,524,692,"1,392"
BUGALAGRANDE,173,540,655,"1,368"
PRADERA,237,587,744,"1,568"
CARTAGO,181,454,601,"1,236"
CANDELARIA,215,514,602,"1,331"
RIOFRIO,161,407,466,"1,034"
ZARZAL,82,235,367,684
TRUJILLO,111,352,419,882
SEVILLA,112,279,443,834
EL CERRITO,132,296,353,781
SAN PEDRO,140,320,342,802
ROLDANILLO,75,208,285,568
CAICEDONIA,80,193,257,530
CALIMA,110,241,286,637
GUACARI,89,213,221,523
RESTREPO,80,201,266,547
LA UNION,66,192,203,461
ALCALA,88,153,242,483
TORO,37,85,146,268
GINEBRA,53,148,166,367
YOTOCO,44,86,126,256
EL DOVIO,31,107,138,276
OBANDO,45,102,105,252
ANSERMANUEVO,60,117,130,307
BOLIVAR,27,89,121,237
ARGELIA,38,107,101,246
ANDALUCIA,14,60,83,157
LA CUMBRE,21,70,99,190
EL CAIRO,27,56,87,170
EL AGUILA,30,65,87,182
LA VICTORIA,25,55,65,145
VERSALLES,11,57,51,119
VIJES,8,54,58,120
ULLOA,11,31,39,81
