Departamento,Municipio, L.1 Transparencia,L.2 Colaboración,L.3 Participación, Promedio indicadores de proceso TIC para Gobierno abierto,RC1.Porcentaje de conjuntos de datos abiertos estratégicos publicados,Número de aplicaciones o de publicaciones generadas a partir de datos abiertos,Número de soluciones implementadas a colaboracion que hacen uso de medios electrónicos,Porcentaje de ejercicios de consulta o toma de decisiones  en los que se hizo uso de medios electrónicos,Promedio indicadores de resultado TIC para Gobierno abierto,Gobierno abierto,Porcentaje de trámites y servicios en línea que cuentan con caracterización de los usuarios,Porcentaje de trámites y servicios en línea que cumplen los criterios de accesibilidad,Porcentaje de trámites y servicios en línea  que cumplen los criterios de usabilidad,Porcentaje de trámites y servicios en línea que fueron promocionados,L.4 Servicios centrados en el usuario,"Cuenta con un sistema web para la recepción, trámite y respuesta de PQRD","Cuenta con un sistema móvil para la recepción, trámite y respuesta de PQRD",Cuenta con un sistema integrado  de PQRD, L.5 Sistema integrado de PQRD,Porcentaje de certificaciones y constancias disponibles en línea,Porcentaje de trámites y servicios disponibles en línea,Porcentaje de trámites y servicios en línea integrados a alguna ventanilla única, L.6 Trámites y servicios en línea,Promedio indicadores de proceso TIC para Servicios ,Satisfacción con los trámites y servicios en línea,Porcentaje de transacciones en línea,Promedio indicadores de resultado TIC para Servicios,TIC para servicios,Cumpliento del plan estratégico de TI,Cumplimiento con el alcance del plan estratégico ,Cumplimiento con el monitoreo y evaluación de la estrategia de TI,Cumplimiento con el catálogo de servicios de TI,Cumplimiento con el direccionamiento estratégico de TI,L.7 Estratégia de TI,Cumplimiento con el esquema de gobierno de TI,Cumplimiento con la optimización de  compras públicas  de TI,Cumplimiento en la aplicación de buenas prácticas para la gerencia de proyectos TI,Cumplimiento con la transferencia de conocimiento por parte de proveedores,L.8 Gobierno de TI,Cumplimiento de gestión de componentes de información,"Catálogo de componentes de información (datos, información, servicios y flujos de información.",Plataforma de Interoperabilidad.,"Mecanismos  de aseguramiento, control, inspección y             mejoramiento de la calidad de los componentes de información",L.9 Información,Cumplimiento con la gestión derechos de autor,Cumplimiento con las recomendaciones de estilo y Usabilidad,Cumplimiento de los sistemas de información con la apertura de datos,Cumplimiento con el ciclo de vida de los sistemas de información,Cumplimiento con el seguimiento a etapas del ciclo de vida,"Auditoría, seguridad, privacidad y trazabilidad de los sistemas de información",L.10 Sistemas de Información,Cumplimiento con la arquitectura de servicios ,Cumplimiento con la metodología para adquisión de servicios tecnológicos,Cumplimiento con el programa de disposición final de residuos tecnológicos,Cumplimiento con mecanismos de monitoreo de los servicios tecnológicos,Cumplimiento con el soporte y mantenimiento de los servicios tecnológicos,Cumplimiento con la gestión de la calidad y seguridad de servicios tecnológicos ,L.11 Servicios Técnologicos,Cumplimiento de la estrategia de uso y apropiación ,L.12 Uso y apropiación,Cumplimiento con la iniciativa de uso eficiente del papel,Cumplimiento con la gestión de documentos electrónicos,Cumplimiento con la automatización de procesos y procedimientos internos,L.13 Capacidades institucionales,Promedio Indicadores de proceso TIC para la Gestión,RC3.1*,RC3.2*,RC3.3*,RC3.4*,RC3.5*,RC3.6*,Promedio indicadores de resultado TIC para la Gestión*,TIC para la Gestión TI,Diagnostico Seguridad y Privacidad de la Información,La entidad establece y documenta las  políticas del MSPI.,"La entidad establece procedimientos, roles y responsabilidades dentro del MSPI",La entidad realiza el inventario de activos de información,La entidad gestiona los riesgos de seguridad y privacidad de la información.,"La entidad genera planes de comunicación, sensibilización y capacitación en seguridad de la información",L. 14Definición del marco de seguridad y privacidad de la información y de los sistemas de información,Debilidades de Implementación en el MSPI,La entidad implementa el plan de tratamiento de riesgos de seguridad y privacidad de la información,Se divulga y capacita a los funcionarios sobre las temáticas del modelo de gestión de seguridad de la información establecido para la entidad,TL15 Implementación del plan de seguridad y privacidad de la información y de los sistemas de información,"La entidad cuenta con actividades para el seguimiento, medición, análisis y evaluación del desempeño de la seguridad y privacidad con el fin de generar los ajustes o cambios pertinentes y oportunos.",La entidad revisa e implementa acciones de mejora continua que garanticen el cumplimiento del plan de seguridad y privacidad de la Información.,L16Monitoreo y mejoramiento continuo,Promedio indicadores de proceso Seguridad y Privacidad de la Información,R4.1 dentificación de activos críticos de información*,R4.2 Gestión vulnerabilidades*,R4.3 Remediación *,Promedio indicadores de resultado Seguridad y Privacidad de la Información*,Seguridad y Privacidad de la Información,ÍNDICE GEL
Amazonas,Gobernación,98,0,100,66,100,0,0,100,50,58,0,100,100,100,75,100,100,100,100,50,25,0,25,67,50,100,75,71,0,0,0,0,0,0,50,0,100,100,63,30,0,0,0,8,0,25,100,25,0,0,25,0,50,100,75,67,17,51,60,60,67,50,75,64,39,0,0,33,75,100,100,51,45,0,67,0,0,0,38,17,0,0,100,33,13,33,23,25,0,NA,0,0,12,47
Amazonas,Puerto Nariño,37,0,0,12,0,0,0,0,0,6,25,0,0,0,6,100,0,0,33,100,100,25,75,38,30,80,55,47,0,0,0,0,0,0,67,0,0,0,17,0,0,0,17,4,0,0,100,50,0,0,25,0,0,0,0,100,50,25,70,70,83,75,25,61,29,0,0,0,100,100,100,50,39,0,0,0,13,0,25,6,20,13,100,44,0,33,17,22,0,NA,0,0,11,26
Amazonas,Leticia,64,0,100,55,100,100,0,100,75,65,0,0,0,0,0,100,100,0,67,0,0,0,0,22,0,100,50,36,0,0,0,0,0,0,0,50,100,100,63,0,0,0,0,0,100,50,100,0,0,0,42,50,50,0,0,33,0,22,60,60,83,100,100,94,40,0,0,100,50,100,100,58,49,0,100,0,38,8,25,28,0,0,100,33,0,0,0,21,0,NA,0,0,10,40
Antioquia,Sopetrán,47,0,0,16,0,0,0,0,0,8,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,100,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,0,100,0,0,67,0,28,0,0,0,0,0,0,5,0,0,11,100,100,0,35,20,0,8,0,38,8,0,9,0,50,0,17,0,0,0,9,0,NA,NA,0,4,17
Antioquia,Concepción,37,0,0,12,0,0,0,0,0,6,0,0,0,0,0,100,100,0,67,0,75,0,25,31,75,0,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,17,0,0,100,0,0,0,17,0,0,83,50,0,44,11,0,0,0,0,0,0,0,6,0,50,0,0,8,0,10,0,0,0,0,0,0,0,3,0,NA,0,0,2,12
Antioquia,Sonsón,92,0,100,64,100,0,0,0,25,45,75,75,25,75,63,100,100,100,100,0,100,100,67,76,75,100,88,82,70,0,0,0,0,14,83,50,100,100,83,0,0,0,17,4,0,100,100,50,70,50,62,0,50,100,30,100,67,58,70,70,100,100,100,100,56,0,0,0,0,0,100,17,36,100,67,0,38,17,75,49,0,50,25,25,25,100,63,46,100,75,0,58,52,54
Antioquia,Cocorná,98,100,100,99,100,0,100,100,75,87,75,75,100,100,88,100,100,100,100,75,75,0,50,79,100,18,59,69,0,0,0,0,0,0,0,0,100,100,50,0,50,100,0,38,0,0,100,100,0,0,33,0,100,100,55,67,17,56,60,60,83,100,100,94,47,0,100,0,0,0,100,33,40,100,67,0,0,0,25,32,40,0,100,47,0,67,33,37,0,NA,NA,0,19,54
Antioquia,Segovia,12,100,100,71,0,0,100,100,50,60,100,100,0,0,50,0,0,0,0,0,100,0,33,28,60,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,67,0,19,0,0,67,25,50,47,10,0,0,0,67,0,0,11,10,0,0,0,0,0,38,6,0,0,25,8,0,0,0,5,0,NA,NA,0,2,25
Antioquia,Ciudad Bolívar,55,100,100,85,0,0,0,0,0,42,0,100,100,25,56,100,100,100,100,0,100,0,33,63,0,0,0,32,0,0,0,0,0,0,0,50,0,100,38,0,0,0,17,4,0,75,100,50,0,100,54,0,100,0,0,100,17,36,50,50,67,25,0,31,30,0,0,100,100,0,100,50,40,0,0,0,38,8,38,14,20,50,0,23,13,100,56,31,0,NA,NA,0,16,32
Antioquia,El Santuario,64,0,100,55,0,0,0,0,0,27,100,100,100,100,100,100,0,100,67,0,25,100,42,69,60,100,80,75,0,0,0,0,40,8,17,0,100,100,54,30,0,0,50,20,0,75,100,50,30,50,51,0,50,100,0,67,33,42,70,70,50,100,100,83,47,0,0,0,100,100,100,50,48,0,42,100,38,29,75,47,40,50,100,63,0,100,50,54,0,NA,NA,0,27,44
