FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,CODIGO DANE,2014
01/01/2014 12:00:00 AM,ANTIOQUIA,BELLO,Miércoles,5:00,VDA. HATOVIEJO,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,21,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,5088000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,DON MATÍAS,Miércoles,4:00,BARRIO NUEVO,URBANA,VIAS PUBLICAS,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,24,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,5237000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Miércoles,0:00,PARQUE NORTE C-4,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,5001000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Miércoles,0:00,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,5001000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,PUERTO BERRÍO,Miércoles,22:00,ALFONSO LOPEZ,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,ARMA BLANCA,A PIE,A PIE,14,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,5579000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,SABANALARGA,Miércoles,3:00,LA AURORA,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,5628000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,SAN RAFAEL,Miércoles,4:00,EL CARMELO,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,5667000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,SAN RAFAEL,Miércoles,4:30,EL CARMELO,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,5667000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,YARUMAL,Miércoles,0:00,LA AVENIDA,URBANA,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,5887000,1
01/01/2014 12:00:00 AM,ANTIOQUIA,YARUMAL,Miércoles,3:00,EL PREVENTORIO,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ARMA BLANCA,A PIE,A PIE,22,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,5887000,1
01/01/2014 12:00:00 AM,ARAUCA,ARAUCA (CT),Miércoles,4:35,COSTA HERMOSA,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,81001000,1
01/01/2014 12:00:00 AM,ARAUCA,ARAUCA (CT),Miércoles,23:00,COSTA HERMOSA,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,NO REPORTADO,15,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,81001000,1
01/01/2014 12:00:00 AM,ARAUCA,ARAUCA (CT),Miércoles,12:00,LAS AMERICAS,URBANA,CASAS DE HABITACION,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,81001000,1
01/01/2014 12:00:00 AM,ARAUCA,SARAVENA,Miércoles,16:30,GALAN,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ESCOPOLAMINA,A PIE,A PIE,19,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,TECNICO,81736000,1
